,Score
Glucose,245.85920854104933
BMI,82.56242947356262
Age,46.140611238735865
Pregnancies,39.670227393616116
DiabetesPedigreeFunction,23.871300204344593
Insulin,13.281107531096337
SkinThickness,4.304380905008516
BloodPressure,3.256950397889028
